Time (UTC), Channel2
05/22/21 15:58:15, 
05/22/21 15:58:35, 139.9
05/22/21 15:58:40, 139.9
05/22/21 15:58:45, 
05/22/21 15:59:10, 
05/22/21 15:59:15, 
05/22/21 15:59:35, 140.2
05/22/21 15:59:40, 140.2
05/22/21 15:59:45, 
05/22/21 16:00:10, 
05/22/21 16:00:15, 
05/22/21 16:00:35, 140.6
05/22/21 16:00:40, 140.6
05/22/21 16:00:45, 
05/22/21 16:01:10, 
05/22/21 16:01:15, 
05/22/21 16:01:35, 140.9
05/22/21 16:01:40, 140.9
05/22/21 16:01:45, 
05/22/21 16:02:10, 
05/22/21 16:02:15, 
05/22/21 16:02:35, 141.2
05/22/21 16:02:40, 141.2
05/22/21 16:02:45, 
05/22/21 16:03:10, 
05/22/21 16:03:15, 
05/22/21 16:03:35, 141.6
05/22/21 16:03:40, 141.6
05/22/21 16:03:45, 
05/22/21 16:04:10, 
05/22/21 16:04:15, 
05/22/21 16:04:35, 141.9
05/22/21 16:04:40, 141.9
05/22/21 16:04:45, 
05/22/21 16:05:10, 
05/22/21 16:05:15, 
05/22/21 16:05:35, 142.2
05/22/21 16:05:40, 142.2
05/22/21 16:05:45, 
05/22/21 16:06:10, 
05/22/21 16:06:15, 
05/22/21 16:06:35, 142.6
05/22/21 16:06:40, 142.6
05/22/21 16:06:45, 
05/22/21 16:07:10, 
05/22/21 16:07:15, 
05/22/21 16:07:35, 142.7
05/22/21 16:07:40, 142.7
05/22/21 16:07:45, 
05/22/21 16:08:10, 
05/22/21 16:08:15, 
05/22/21 16:08:35, 143.0
05/22/21 16:08:40, 143.0
05/22/21 16:08:45, 
05/22/21 16:09:10, 
05/22/21 16:09:15, 
05/22/21 16:09:35, 143.3
05/22/21 16:09:40, 143.3
05/22/21 16:09:45, 
05/22/21 16:10:10, 
05/22/21 16:10:15, 
05/22/21 16:10:35, 143.7
05/22/21 16:10:40, 143.7
05/22/21 16:10:45, 
05/22/21 16:11:10, 
05/22/21 16:11:15, 
05/22/21 16:11:35, 144.0
05/22/21 16:11:40, 144.0
05/22/21 16:11:45, 
05/22/21 16:12:10, 
05/22/21 16:12:15, 
05/22/21 16:12:35, 144.3
05/22/21 16:12:40, 144.3
05/22/21 16:12:45, 
05/22/21 16:13:10, 
05/22/21 16:13:15, 
05/22/21 16:13:35, 144.6
05/22/21 16:13:40, 144.6
05/22/21 16:13:45, 
05/22/21 16:14:10, 
05/22/21 16:14:15, 
05/22/21 16:14:35, 144.9
05/22/21 16:14:40, 144.9
05/22/21 16:14:45, 
05/22/21 16:15:10, 
05/22/21 16:15:15, 
05/22/21 16:15:35, 145.3
05/22/21 16:15:40, 145.3
05/22/21 16:15:45, 
05/22/21 16:16:10, 
05/22/21 16:16:15, 
05/22/21 16:16:35, 145.6
05/22/21 16:16:40, 145.6
05/22/21 16:16:45, 
05/22/21 16:17:10, 
